,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
92,-17,0,-2,-7,-6,15,1,-5,3,-11,13,6,-3,14,6,15,-3,11,19,15,-11,3,-5,8,-13,-4,-2,3,13,8,18,-4,-12,-2,17,18,-1,19,-2,-12,13,14,-14,13,6,-6
93,-25,-18,-19,-26,-23,2,-21,-21,-11,-25,0,-11,-22,-4,-9,4,-22,-3,6,8,-23,-14,-19,-10,-25,-18,-18,-19,3,-9,5,-23,-28,-18,2,-1,-17,8,-14,-26,-5,0,-26,-4,-11,-24
94,-26,-27,-28,-33,-26,-19,-32,-28,-24,-26,-21,-29,-24,-24,-24,-15,-37,-22,-9,-11,-26,-31,-24,-27,-26,-22,-31,-35,-16,-27,-12,-35,-36,-30,-15,-19,-26,-12,-25,-27,-22,-20,-25,-23,-30,-37
95,-18,-20,-25,-32,-21,-31,-37,-24,-24,-17,-36,-35,-18,-35,-35,-30,-34,-33,-28,-29,-20,-40,-14,-34,-17,-19,-32,-35,-35,-34,-29,-35,-29,-31,-32,-29,-19,-30,-20,-17,-34,-34,-12,-36,-33,-37
96,-16,-9,-17,-24,-15,-29,-26,-17,-15,-14,-35,-31,-12,-33,-31,-35,-22,-27,-35,-33,-12,-29,-12,-30,-14,-13,-22,-27,-33,-29,-34,-27,-19,-21,-36,-30,-13,-36,-15,-15,-33,-33,-14,-34,-28,-24
97,-15,-9,-15,-13,-16,-22,-12,-14,-11,-13,-30,-20,-12,-23,-22,-25,-16,-19,-32,-25,-15,-18,-14,-20,-14,-13,-13,-19,-25,-22,-30,-16,-11,-13,-28,-20,-16,-28,-11,-15,-24,-23,-11,-22,-17,-14
98,-4,-9,-11,-7,-10,-14,-6,-11,-11,-4,-19,-11,-6,-12,-13,-15,-8,-9,-21,-17,-6,-12,-6,-17,-4,-7,-6,-10,-19,-12,-21,-7,-4,-5,-18,-14,-12,-18,-11,-6,-16,-13,0,-14,-10,-6
99,13,5,2,6,8,-6,6,3,-6,12,-8,-2,8,-5,-5,-9,7,-1,-12,-11,11,-1,13,-3,10,10,2,-1,-8,-6,-12,5,10,6,-9,-5,5,-15,4,11,-7,-6,18,-4,1,9
100,25,22,22,19,22,6,19,19,12,26,4,13,21,5,10,1,20,10,-4,1,25,15,28,9,26,25,18,15,5,9,-1,19,25,19,0,5,21,0,24,22,4,7,27,6,13,23
101,26,30,28,23,27,17,24,27,26,27,15,25,28,21,23,16,22,24,11,16,27,23,28,20,30,28,26,20,17,22,12,24,23,24,15,17,25,11,28,26,18,20,26,20,22,25
102,24,29,26,15,24,21,20,25,27,23,25,20,23,24,22,22,18,24,21,21,22,19,27,19,27,24,17,20,21,21,25,17,16,19,24,19,26,22,27,21,22,24,27,21,22,17
103,21,25,23,11,23,20,16,22,24,23,21,15,16,17,18,19,17,22,19,23,20,15,21,17,21,23,16,15,22,15,23,13,17,16,20,14,22,21,24,21,18,21,20,15,18,16
104,15,18,20,10,15,13,16,18,16,13,14,13,13,14,15,16,13,18,17,15,14,13,15,15,14,14,13,12,17,13,20,13,13,11,16,11,15,16,18,16,17,12,13,13,19,16
105,-3,5,5,8,2,11,11,8,10,0,13,12,2,13,13,13,8,15,14,12,2,9,1,12,1,-1,6,12,13,13,15,8,8,7,14,10,5,15,4,-1,13,15,-5,12,14,8
106,-20,-12,-12,-7,-19,10,3,-12,-10,-20,10,5,-19,7,7,9,0,8,13,9,-19,3,-18,8,-19,-18,-3,2,12,6,14,-6,-6,-4,12,7,-13,9,-11,-21,9,8,-26,9,5,-3
107,-34,-27,-29,-20,-34,-3,-12,-28,-25,-31,2,-11,-34,-6,-7,2,-15,-5,4,4,-37,-11,-30,-6,-33,-36,-15,-9,4,-7,6,-19,-19,-17,4,-4,-29,0,-26,-31,-4,3,-35,-2,-7,-15
108,-29,-36,-33,-24,-35,-17,-18,-33,-34,-33,-11,-24,-34,-18,-19,-12,-23,-17,-10,-9,-34,-20,-33,-17,-33,-34,-21,-21,-14,-18,-8,-24,-21,-27,-11,-16,-35,-11,-33,-31,-13,-12,-32,-16,-20,-23
109,-23,-32,-28,-19,-24,-22,-19,-26,-34,-23,-23,-26,-25,-26,-22,-24,-19,-25,-20,-23,-29,-24,-23,-21,-24,-27,-23,-21,-24,-22,-19,-21,-17,-24,-22,-24,-29,-21,-26,-21,-21,-25,-22,-21,-25,-21
110,-13,-20,-17,-11,-18,-20,-11,-16,-24,-14,-22,-20,-16,-23,-18,-24,-10,-22,-25,-22,-19,-19,-11,-15,-18,-17,-13,-14,-25,-18,-21,-15,-6,-14,-22,-20,-17,-27,-17,-12,-21,-23,-14,-20,-18,-12
111,-5,-15,-9,1,-10,-11,-1,-8,-14,-8,-15,-10,-9,-13,-9,-16,-1,-9,-15,-14,-10,-6,-7,-8,-6,-10,-4,-5,-16,-10,-15,-6,3,-6,-15,-11,-11,-19,-11,-4,-9,-14,-7,-9,-11,-2
112,6,-5,0,6,3,-2,5,2,-6,5,-4,0,3,-4,1,-6,3,-4,-5,-9,3,2,10,-2,4,0,1,5,-10,0,-5,0,10,3,-3,-2,1,-7,-2,9,-3,-4,8,-2,-2,3
113,20,12,14,8,18,7,7,14,7,16,2,3,15,4,5,-1,9,0,3,-1,15,4,21,4,17,19,5,6,-1,4,2,3,11,4,4,3,17,-3,13,22,3,0,21,6,3,6
114,21,25,23,14,25,9,10,26,20,22,4,5,23,5,10,3,11,3,4,4,18,5,24,8,22,21,9,9,2,6,7,11,17,8,6,6,26,3,24,28,5,4,22,7,6,11
