,0,1,2,3,4,5,6,7,8,9,10
400,7,7,11,9,13,9,9,10,0,8,9
401,7,5,11,11,14,11,12,10,0,10,10
402,8,5,13,14,14,12,13,9,-3,10,11
403,9,6,12,12,12,10,11,11,2,11,11
404,9,9,10,12,12,11,11,8,1,10,10
405,11,7,10,17,11,10,11,8,2,9,9
406,9,7,11,13,10,10,10,7,0,7,9
407,9,8,8,8,9,9,7,7,0,8,9
408,11,6,7,9,7,9,5,6,-1,5,5
409,8,6,8,5,5,8,2,6,-1,5,4
410,7,5,5,7,5,6,2,3,0,4,2
411,2,3,2,7,4,4,1,2,1,1,1
412,5,3,1,6,2,3,3,2,-2,1,2
413,4,3,-1,4,1,2,-2,0,-3,2,1
414,2,3,-1,4,-1,2,-2,-2,-5,1,1
415,1,2,0,1,-3,0,-3,-2,-6,-3,-2
416,1,3,-2,0,-6,0,-3,-3,-7,-4,-3
417,1,1,-4,-1,-7,-1,-6,-3,-6,-2,-3
418,0,-3,-4,-4,-9,-1,-4,-5,-6,-4,-2
419,0,-4,-7,-5,-8,-4,-6,-4,-5,-4,-4
420,-1,-4,-8,-5,-10,-4,-7,-3,-4,-6,-7
421,-4,-5,-10,-6,-8,-5,-6,-5,-2,-5,-7
422,-6,-5,-9,-9,-8,-8,-6,-7,-2,-6,-5
423,-9,-7,-9,-9,-7,-6,-6,-4,-2,-6,-8
424,-7,-7,-10,-9,-9,-8,-8,-3,1,-6,-7
425,-8,-8,-11,-10,-8,-9,-7,-9,1,-7,-7
426,-10,-8,-11,-12,-8,-7,-7,-7,1,-7,-7
427,-9,-8,-9,-11,-7,-10,-7,-3,0,-6,-8
428,-10,-8,-8,-10,-6,-11,-5,-5,-1,-3,-7
429,-7,-6,-8,-8,-5,-7,-6,-3,2,-2,-6
430,-6,-4,-7,-7,-5,-6,-2,-1,0,-3,-5
431,-5,-3,-5,-6,-4,-4,-3,0,-2,-2,-4
432,-4,0,-1,-4,-3,-2,0,0,0,-1,-2
433,-2,-2,-1,-4,-2,-3,0,1,-1,-1,-3
434,-1,-1,0,-1,0,-4,-2,3,-1,1,-2
435,-3,-2,1,0,0,-4,-1,4,0,0,-1
436,-1,-2,1,2,0,-1,0,2,0,0,-1
437,-1,-1,3,1,0,-3,0,5,1,0,1
438,-2,-1,5,-1,0,-4,0,6,-1,1,0
439,-1,-4,3,1,-1,-1,-1,5,2,4,-1
440,-1,-3,2,1,0,-2,0,2,3,2,-2
441,-1,-3,0,-2,3,-5,-2,0,2,1,-3
442,0,-3,-1,-3,0,-5,-4,0,3,2,-2
443,-2,-2,-3,-2,-3,-5,-1,0,3,0,-3
444,-3,-3,-3,-2,-2,-5,-1,0,1,0,-3
445,-3,-2,-4,-3,-1,-5,-3,-2,2,0,-5
446,-2,-2,-1,-5,0,-5,-2,-4,2,0,-4
447,-1,-2,2,-3,-2,-2,-1,-6,1,-1,-3
448,0,0,1,-2,-2,-2,0,-6,2,-2,1
449,0,2,2,-1,-2,2,2,-6,2,-1,0
450,0,1,3,1,-1,4,2,-6,1,-5,5
451,3,2,4,2,-2,5,3,-6,2,-5,3
452,5,3,3,6,0,8,8,-7,0,-4,6
453,6,3,3,4,2,7,7,-6,2,-2,5
454,6,6,3,4,2,7,6,-4,2,-4,6
455,9,5,4,4,4,9,6,-2,3,-4,7
456,5,4,4,7,3,9,6,-1,2,-3,6
457,5,7,5,10,5,8,8,0,3,-4,7
458,5,8,5,7,10,9,7,1,2,-1,7
459,6,6,5,4,10,8,6,3,2,-1,6
460,6,7,5,4,8,6,5,4,0,1,8
461,7,8,9,8,9,6,5,3,2,3,6
462,5,7,8,7,8,6,4,8,-3,5,7
463,5,7,7,8,10,6,5,9,-1,8,6
464,3,9,9,8,11,7,7,7,-2,8,5
465,3,9,9,7,11,6,6,7,-2,6,4
466,1,9,11,9,9,7,7,8,-4,11,2
467,3,8,8,7,8,6,6,9,-3,11,5
468,1,5,6,6,7,4,6,10,-4,9,2
469,3,5,6,6,8,6,5,9,-2,9,2
470,2,5,4,6,6,6,2,9,-2,10,1
471,0,3,2,3,3,4,1,7,0,10,-1
472,0,2,-1,4,1,2,-1,9,-1,10,-1
473,0,-2,-1,2,0,-1,-4,9,-1,8,-1
474,1,-3,-5,1,-3,-2,-7,5,0,6,-3
475,-2,-5,-7,-3,-6,-4,-10,3,-1,2,-7
476,-3,-6,-8,-5,-8,-8,-8,-1,-3,0,-6
