,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
157,-5,-8,-26,-13,-26,-8,9,-3,-9,-17,1,-5,-5,-1,-2,-30,-11,-7,-7,-7,4,-23,-2,-8,-19,-21,-11,-2
158,-8,-11,-29,-16,-30,-10,6,-8,-13,-23,-4,-11,-10,-9,-8,-34,-12,-11,-13,-8,6,-26,-7,-9,-25,-22,-17,-9
159,-11,-12,-28,-18,-29,-16,6,-13,-17,-24,-10,-16,-15,-13,-13,-33,-16,-14,-19,-11,2,-32,-13,-14,-26,-24,-21,-12
160,-18,-18,-24,-20,-29,-18,4,-17,-20,-25,-14,-20,-17,-17,-16,-28,-20,-20,-20,-13,-1,-31,-16,-19,-25,-23,-27,-16
161,-19,-18,-21,-20,-28,-20,2,-20,-20,-25,-16,-23,-20,-20,-18,-24,-23,-23,-21,-13,-3,-31,-17,-21,-27,-27,-27,-19
162,-21,-22,-18,-21,-25,-22,0,-22,-23,-26,-18,-24,-21,-23,-21,-21,-24,-24,-23,-14,-7,-28,-22,-23,-26,-25,-29,-19
163,-20,-22,-13,-20,-20,-22,-1,-23,-26,-23,-20,-24,-20,-25,-23,-15,-27,-25,-23,-14,-8,-25,-24,-26,-23,-24,-30,-22
164,-21,-22,-5,-20,-15,-23,-2,-23,-26,-20,-22,-24,-24,-26,-23,-7,-27,-27,-22,-13,-9,-16,-25,-27,-20,-22,-31,-26
165,-21,-20,2,-18,-7,-22,-2,-22,-26,-16,-24,-22,-24,-26,-24,-2,-24,-23,-23,-11,-11,-8,-25,-28,-18,-18,-28,-24
166,-18,-19,5,-17,-3,-18,-4,-23,-22,-14,-24,-21,-23,-25,-23,6,-20,-22,-22,-9,-12,-4,-27,-24,-13,-17,-24,-25
167,-15,-18,11,-13,6,-16,-3,-20,-19,-10,-22,-17,-22,-23,-22,13,-18,-22,-20,-9,-11,2,-24,-24,-12,-15,-18,-23
168,-13,-15,16,-10,11,-12,-4,-17,-14,-7,-21,-17,-20,-19,-21,18,-16,-18,-19,-4,-15,8,-25,-21,-7,-10,-16,-21
169,-12,-13,19,-6,15,-9,-6,-16,-11,-3,-18,-14,-15,-15,-16,22,-12,-15,-15,-1,-16,13,-20,-15,1,-6,-13,-15
170,-7,-9,26,-2,18,-4,-8,-11,-9,0,-16,-10,-12,-11,-16,23,-6,-12,-9,-1,-14,18,-14,-11,4,-1,-8,-9
171,-3,-6,26,1,21,-1,-5,-9,-6,3,-14,-5,-5,-7,-9,25,-1,-7,-6,2,-15,24,-14,-8,10,6,-2,-6
172,1,0,24,3,25,2,-7,-3,0,11,-9,-3,-2,-2,-4,27,3,-4,-2,5,-13,26,-7,-2,13,10,3,-4
173,4,3,24,9,25,9,-7,1,2,12,-4,1,3,3,0,28,7,-1,3,8,-10,30,-2,3,17,13,6,0
174,7,7,21,12,25,13,-6,5,8,16,-2,6,10,8,4,28,12,7,7,10,-8,28,3,6,22,17,12,5
175,12,12,17,15,22,15,-4,10,12,16,4,10,14,12,9,24,14,12,10,12,-7,27,11,11,23,24,15,12
176,14,15,18,18,21,17,-2,12,14,20,8,14,17,15,13,20,18,16,15,13,-1,25,15,18,24,23,17,16
177,16,16,14,20,17,18,0,15,17,21,12,16,19,18,17,14,22,19,15,17,1,23,18,21,24,25,20,20
178,18,18,8,21,14,21,0,19,20,22,15,20,23,21,20,11,21,20,21,16,5,17,20,21,23,25,25,22
179,20,20,4,20,8,21,2,21,22,21,19,22,25,22,23,4,20,21,23,14,8,13,25,25,21,26,26,24
180,20,20,-2,18,6,20,3,21,23,19,22,22,23,22,21,0,22,24,22,15,12,6,24,24,15,20,25,24
181,17,20,-5,15,1,19,4,19,21,15,24,23,23,24,21,-8,21,23,23,12,13,1,23,24,14,15,24,24
182,17,19,-9,12,-2,15,6,21,19,12,25,22,22,23,19,-11,18,22,22,11,17,-4,23,26,5,13,22,21
183,18,14,-12,10,-6,12,6,19,17,8,23,19,17,18,19,-14,12,19,20,8,16,-8,20,21,0,6,17,19
184,13,10,-16,6,-12,8,3,17,11,7,22,15,12,14,16,-15,9,17,15,4,19,-12,17,17,-5,3,15,14
185,7,7,-17,2,-14,4,4,15,8,-1,18,8,6,10,11,-20,5,9,8,2,18,-17,10,15,-10,-2,11,8
186,3,3,-21,-6,-16,-2,4,9,4,-5,12,4,2,7,5,-24,0,7,1,-2,16,-20,7,9,-18,-9,6,4
187,-1,-1,-21,-9,-19,-5,3,3,-2,-9,9,-1,-5,1,2,-23,-5,1,-1,-5,14,-23,3,1,-22,-15,-1,0
188,-5,-6,-22,-13,-21,-12,0,1,-8,-15,3,-6,-10,-4,-5,-24,-11,-4,-8,-10,12,-25,-3,-4,-26,-19,-9,-5
189,-8,-9,-22,-17,-22,-15,-2,-6,-13,-20,-3,-10,-14,-10,-11,-21,-16,-11,-14,-14,9,-26,-9,-9,-29,-21,-13,-13
190,-14,-13,-20,-20,-22,-21,-3,-13,-15,-26,-8,-16,-18,-14,-16,-22,-20,-15,-19,-16,7,-27,-13,-13,-28,-23,-18,-15
