,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
117,14,12,46,11,34,-9,44,23,40,43,28,41,14,37,44,47,43,43,10,45,21,-8,4,4,31,48,6,-11,36,34,42,11,44,44,46,29,9,25,50,42,18,47
118,14,1,38,1,24,-20,37,12,28,38,18,32,5,26,39,42,36,35,14,39,8,-12,-6,9,20,42,-9,-17,27,24,34,-1,42,34,41,18,-2,16,45,31,10,42
119,17,-8,26,-11,12,-28,29,0,19,31,7,24,-6,16,29,35,26,25,15,32,-3,-16,-19,14,11,34,-18,-14,18,12,25,-9,33,26,33,5,-12,4,40,24,-1,34
120,19,-19,19,-22,2,-35,17,-6,7,23,-2,14,-19,4,20,24,17,14,18,22,-13,-16,-31,15,-5,26,-30,-18,8,3,15,-21,24,17,22,-5,-21,-6,29,13,-9,24
121,13,-30,7,-33,-12,-42,9,-16,-2,11,-13,3,-30,-8,13,13,7,6,18,12,-24,-17,-39,16,-15,16,-41,-19,-1,-9,0,-33,14,4,14,-17,-30,-15,21,-2,-22,15
122,11,-38,-6,-40,-26,-44,-7,-29,-14,-2,-25,-11,-33,-20,0,3,-5,-6,19,2,-35,-14,-44,21,-28,3,-46,-17,-16,-23,-11,-41,2,-7,5,-28,-38,-25,10,-14,-32,1
123,7,-40,-13,-43,-31,-48,-18,-34,-29,-13,-34,-21,-42,-31,-13,-9,-15,-16,13,-10,-43,-15,-48,18,-36,-6,-52,-17,-25,-34,-22,-44,-11,-17,-9,-35,-42,-36,-3,-23,-37,-11
124,5,-46,-26,-47,-40,-48,-26,-43,-35,-22,-42,-31,-45,-38,-23,-22,-27,-28,8,-20,-46,-12,-53,16,-40,-19,-55,-15,-34,-42,-33,-51,-22,-29,-20,-44,-47,-43,-14,-34,-45,-20
125,2,-49,-33,-51,-46,-50,-35,-48,-43,-36,-41,-41,-50,-45,-31,-31,-36,-39,6,-30,-49,-7,-52,12,-51,-31,-54,-8,-44,-47,-40,-52,-31,-37,-30,-48,-49,-44,-26,-44,-48,-29
126,0,-49,-44,-49,-52,-43,-46,-51,-51,-45,-49,-47,-50,-51,-41,-38,-45,-46,5,-38,-53,-4,-49,8,-53,-39,-51,-1,-51,-52,-49,-49,-41,-45,-40,-52,-49,-50,-36,-51,-51,-39
