,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
327,-19,-22,-18,-10,-21,-21,-16,-18,-16,-19,-19,-17,-20,-21,-12
328,-15,-16,-14,-6,-16,-15,-11,-14,-11,-13,-16,-14,-15,-16,-9
329,-11,-11,-12,-4,-14,-8,-6,-9,-10,-9,-11,-11,-9,-13,-3
330,-4,-6,-4,-2,-10,-6,-3,-6,-4,-3,-6,-6,-5,-8,2
331,0,-1,-1,4,-5,-1,1,0,1,0,-2,0,-3,-4,8
332,7,4,2,6,-2,4,5,6,5,3,1,5,4,1,11
333,10,8,9,12,1,7,10,9,6,8,6,9,7,5,17
334,13,14,10,14,7,12,12,11,12,12,12,13,11,10,19
335,15,17,15,16,9,16,16,12,14,14,15,16,13,14,22
336,17,18,16,19,15,18,18,16,17,16,18,19,16,15,22
337,19,18,19,20,16,20,17,17,17,19,19,19,16,19,25
338,19,20,21,20,20,20,19,17,17,22,20,20,18,21,23
339,18,20,17,19,20,16,17,19,15,20,17,19,16,20,19
340,16,21,16,16,18,17,17,19,15,17,17,19,15,20,19
341,16,20,17,16,17,14,15,18,15,17,16,16,15,20,18
342,15,16,16,14,18,14,13,19,14,17,17,16,13,18,13
343,12,12,10,7,16,13,12,16,12,15,14,11,10,16,10
344,8,11,8,4,14,9,5,12,10,11,11,9,5,11,5
345,6,7,8,3,9,5,3,9,7,10,6,3,3,7,1
346,2,2,3,-3,7,5,0,5,3,4,4,1,2,6,-2
347,-1,0,-2,-7,3,-1,-5,0,2,2,5,-2,-1,4,-5
348,-7,-3,-6,-10,1,-4,-8,-1,0,-4,-1,-9,-3,1,-8
349,-10,-8,-9,-13,-3,-11,-9,-6,-4,-6,-8,-11,-10,-3,-13
350,-14,-8,-12,-17,-7,-11,-13,-8,-6,-8,-10,-13,-15,-5,-17
351,-17,-11,-13,-18,-9,-14,-18,-14,-8,-11,-13,-15,-17,-8,-20
352,-18,-14,-18,-21,-11,-17,-19,-20,-12,-15,-15,-20,-18,-10,-21
353,-20,-18,-24,-23,-15,-21,-22,-23,-15,-19,-22,-21,-21,-15,-23
354,-18,-20,-22,-22,-19,-21,-19,-21,-18,-20,-24,-20,-20,-22,-22
