,0,1,2,3,4,5,6,7,8
404,66,66,67,66,63,66,62,57,66
405,61,59,63,64,56,62,55,49,67
406,53,54,58,55,50,56,48,35,66
407,44,47,43,48,40,47,32,22,57
408,28,33,32,38,29,37,21,6,53
409,16,20,16,22,15,21,4,-5,42
410,1,7,2,7,-1,6,-10,-22,27
411,-13,-4,-12,-5,-14,-3,-23,-35,11
412,-28,-22,-29,-19,-26,-23,-37,-47,-4
413,-45,-38,-41,-34,-38,-36,-48,-56,-17
414,-50,-45,-52,-49,-51,-48,-55,-58,-34
415,-60,-55,-58,-54,-53,-55,-60,-63,-45
416,-63,-60,-57,-59,-59,-59,-63,-61,-51
417,-64,-60,-62,-60,-63,-63,-65,-57,-60
418,-64,-59,-60,-62,-56,-60,-58,-53,-61
419,-55,-54,-54,-57,-53,-59,-49,-40,-60
420,-47,-49,-43,-49,-42,-52,-35,-30,-57
421,-37,-36,-31,-39,-31,-37,-27,-19,-50
422,-25,-26,-25,-28,-21,-30,-15,-3,-43
423,-13,-16,-8,-15,-9,-14,2,12,-30
424,5,0,6,-3,4,-1,14,24,-20
425,17,15,19,14,19,13,26,32,-6
426,27,26,32,28,27,23,36,44,10
427,39,35,40,36,38,34,44,54,20
428,44,46,51,46,47,47,53,57,33
429,52,54,52,53,52,53,54,61,40
430,53,54,56,58,56,57,57,60,50
431,54,58,55,53,51,58,53,60,54
432,54,54,53,54,52,59,51,51,54
433,49,52,47,51,51,54,46,42,56
434,43,47,39,44,44,46,34,31,53
435,32,36,32,38,36,39,27,16,48
436,22,28,22,25,22,28,12,6,40
437,12,13,11,16,15,15,2,-7,30
438,1,4,1,3,3,6,-8,-21,21
439,-7,-6,-10,-10,-8,-8,-18,-30,7
440,-19,-16,-21,-18,-17,-16,-26,-39,-2
441,-27,-28,-28,-29,-29,-26,-38,-41,-16
442,-35,-37,-37,-36,-36,-35,-40,-50,-25
443,-41,-41,-39,-42,-41,-39,-44,-51,-35
444,-43,-46,-44,-44,-45,-48,-48,-51,-41
445,-44,-48,-44,-47,-46,-46,-44,-50,-41
446,-44,-47,-42,-47,-47,-48,-43,-44,-46
447,-43,-45,-40,-45,-39,-43,-37,-40,-47
448,-37,-38,-36,-41,-35,-38,-34,-29,-44
449,-31,-34,-34,-34,-30,-35,-27,-20,-40
450,-25,-25,-23,-29,-23,-26,-19,-10,-33
451,-13,-16,-14,-20,-16,-21,-8,2,-27
452,-6,-9,-4,-4,-2,-9,4,6,-17
453,0,2,7,1,4,-2,7,20,-9
454,8,12,7,7,10,3,16,30,-3
455,15,20,20,18,20,13,28,34,6
456,26,28,25,26,25,19,32,40,13
457,30,32,31,34,30,30,36,42,22
458,34,37,37,35,33,33,40,47,31
459,38,37,37,41,39,36,42,47,34
460,39,39,40,40,38,39,42,45,38
461,42,42,38,40,40,41,39,41,39
462,39,39,39,41,39,42,38,34,43
463,35,37,34,35,35,36,28,25,42
464,26,31,24,28,27,31,23,18,37
465,22,23,19,21,19,28,17,12,32
466,15,15,11,17,12,16,7,3,24
467,2,7,5,9,3,9,-2,-5,19
468,-5,0,-7,-1,-5,0,-14,-17,9
469,-14,-11,-14,-7,-11,-7,-19,-25,2
470,-23,-17,-18,-16,-22,-17,-27,-32,-6
471,-29,-24,-28,-25,-25,-26,-35,-38,-17
472,-35,-31,-32,-31,-30,-31,-35,-42,-21
473,-39,-37,-39,-36,-37,-40,-41,-41,-31
474,-43,-40,-39,-38,-39,-42,-43,-45,-37
475,-46,-39,-42,-45,-41,-42,-44,-44,-41
476,-44,-42,-46,-47,-40,-47,-44,-39,-43
477,-41,-43,-38,-46,-38,-47,-39,-34,-41
478,-35,-36,-32,-42,-34,-40,-31,-24,-44
479,-28,-29,-24,-34,-24,-32,-22,-20,-40
480,-20,-22,-16,-26,-19,-25,-14,-8,-31
481,-8,-14,-8,-17,-12,-18,-7,4,-24
482,-1,-2,2,-7,-1,-2,6,12,-15
483,12,8,11,3,10,7,19,23,-11
484,21,17,23,14,22,19,31,32,4
485,29,26,33,21,30,28,38,39,16
486,37,36,38,34,38,37,41,43,25
487,42,40,45,40,44,43,47,48,35
488,46,49,49,47,47,47,49,51,40
489,45,52,47,53,49,52,51,46,48
490,45,53,47,53,47,52,48,43,52
491,43,49,41,53,45,47,45,38,51
492,40,43,42,48,41,43,41,29,51
493,31,40,32,41,33,36,29,23,44
